animal_name,wikipedia_sentence
ナガスクジラ,ナガスクジラ（長須鯨、長鬚鯨、Balaenoptera physalus）は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）ナガスクジラ科ナガスクジラ属に属する鯨類。
ハツカネズミ,ハツカネズミ（二十日鼠、廿日鼠、鼷、House mouse）は、ネズミ目（齧歯目）ネズミ科 ハツカネズミ属の1種である。学名は Mus musculus。
ヒガシゴリラ,ヒガシゴリラ（Gorilla beringei）は、哺乳綱霊長目ヒト科ゴリラ属に分類される霊長類。
ヒナコウモリ,コウモリ（蝙蝠）は、哺乳類翼手目（よくしゅもく、Chiroptera、コウモリ目）に属する構成種の総称である。世界各地に約1000種が棲息する。別名に天鼠（てんそ）、飛鼠（ひそ）がある。
ビスカッチャ,ビスカーチャ（Lagostomus maximus）は、齧歯目チンチラ科ビスカーチャ属に分類される齧歯類。現生種では本種のみでビスカーチャ属を構成する。別名ビスカッチャ。
ビスカーチャ,ビスカーチャ（Lagostomus maximus）は、齧歯目チンチラ科ビスカーチャ属に分類される齧歯類。現生種では本種のみでビスカーチャ属を構成する。別名ビスカッチャ。
ビッグホーン,ビッグホーン（Ovis canadensis）は、ウシ科ヒツジ属に分類される偶蹄類。別名オオツノヒツジ。
フクロネズミ,オポッサム形目 (オポッサムけいもく、Didelphimorphia) は、哺乳綱有袋類に分類される目。現生種はオポッサム科（Didelphidae）のみで構成される。別名オポッサム目、ディデルフィス目（Didelphida）。
フクロモグラ,フクロモグラ（袋土竜、Notoryctes typhlops）は、フクロモグラ目フクロモグラ科フクロモグラ属に分類される有袋類。
ブチハイエナ,ブチハイエナ（斑鬣犬、学名: Crocuta crocuta）は、哺乳綱ネコ目（食肉目）ハイエナ科ブチハイエナ属に分類される食肉類。本種のみでブチハイエナ属を構成する。
ヘラコウモリ,コウモリ（蝙蝠）は、哺乳類翼手目（よくしゅもく、Chiroptera、コウモリ目）に属する構成種の総称である。世界各地に約1000種が棲息する。別名に天鼠（てんそ）、飛鼠（ひそ）がある。
ホンドギツネ,ホンドギツネ（本土狐、Vulpes vulpes japonica）は、北半球に広く生息するアカギツネの日本に分布する亜種。
ミンククジラ,ミンククジラ（みんく鯨・学名Balaenoptera acutorostrata）は、ヒゲクジラ亜目に属するクジラの一種である。ナガスクジラ科ナガスクジラ属に属する。コイワシクジラ（小鰯鯨）とも呼ばれる。
アカカンガルー,アカカンガルー（Macropus rufus）は、双前歯目カンガルー科カンガルー属に分類される有袋類。
アブラコウモリ,"アブラコウモリ（油蝙蝠、学名: Pipistrellus abramus）は、コウモリ亜目ヒナコウモリ科に属するコウモリの一種。日本に棲息する中では唯一の、住家性、すなわち、家屋のみをすみかとするコウモリである。したがって、日本では人間にとって最も身近なコウモリであると言える。その習性から、イエコウモリ（家蝙蝠）の別名がある。史前帰化動物とする説もある。また、別名をアブラムシともいい、abramus という種小名はこれに由来する。アブラコウモリは、シーボルトが長崎で入手した標本によって西洋に紹介されたが、当時、九州北部で「アブラムシ」と呼んでいたために、その名称と共にヨーロッパへ渡ることとなった。『日本動物誌』にも Vespertilio abramus として記載されており、長崎の建物の屋根裏などに見られることなどとともに、""Son nom japonais est Abramusi (insecte du lard)""（日本名は Abramusi（脂の昆虫）という）と説明されている。江戸時代には、この呼称は全国的にも一般的であったとされる。"
アンデスウサギ,中嶋 佳葉（なかじま かよう、8月23日 - ）は、日本の女性声優。東京都新宿区出身。81プロデュース所属。
ウッドチャック,ウッドチャック (woodchuck、学名：Marmota monax）、別名グラウンドホッグ（groundhog) は、哺乳綱ネズミ目（齧歯目）リス科マーモット属に分類されるマーモットの1種。北アメリカに広く分布する。
オオカンガルー,オオカンガルー(Macropus giganteus)は、哺乳綱双前歯目カンガルー科カンガルー属に分類される哺乳類。カンガルー属の模式種。
オランウータン,オランウータンは、ヒト科オランウータン属（Pongo）に分類される構成種の総称である。語源は、マレー語の「orang(人) hutan(森) = 森の人」である。アジアの熱帯のみに生息する。ヒト亜科とオランウータン亜科の分岐は約1400万年前と推定されている。
オーストラリア,オーストラリア連邦Commonwealth of Australia国の標語：なし国歌：Advance Australia Fairアドヴァンス・オーストラリア・フェア（進め 美しのオーストラリア）オーストラリア連邦（オーストラリアれんぽう、英: Commonwealth of Australia）、通称オーストラリア（英: Australia）は、オセアニアに位置し、オーストラリア大陸本土、タスマニア島及び多数の小島から成る連邦立憲君主制国家。首都はキャンベラ。最大の都市はシドニー。日本での略称は豪州（ごうしゅう）である。近隣諸国としては、北にパプアニューギニア・インドネシア・東ティモール、北東にソロモン諸島・バヌアツ、東はトンガ・ニューカレドニア・フィジー、南東2000キロメートル先にニュージーランドがある。オーストラリアは、オセアニアで最大の国土面積を誇る国家であり、総面積は世界第6位として認知されている。同国はオセアニアの有人史において最も古い歴史を持ち、現在も肥沃な土壌が極少という過酷な環境を伴っているが、反面で国土は、中心部に砂漠、北東部に熱帯雨林、南東に山岳地帯など、多種多様な景観と気候を擁している。1606年におけるオランダ人探検家によるヨーロッパのオーストラリア大陸発見後、1770年にイギリスが同大陸の東半分を領有主張し、1788年1月26日からニューサウスウェールズ州の植民地に初めて流刑を通じて定住が開始された。その後の数十年間で同大陸の調査が行われ、人口は着実に増加し、さらに5つの自治王領植民地が設立されていた。1901年1月1日、6つの植民地が連合しイギリス自治領として連邦を形成、事実上独立した。以後、6つの州及びその他特別地域から成る連邦議院内閣制及び立憲君主制の役割を果たす安定した自由民主主義の政治体制を維持してきた。2360万の人口は、高度に都市化された東部の州及び沿岸部にかなり集中している。18世紀末期における最初のイギリスの植民までの少なくとも4万年の間、およそ250の言語グループに分類される言語話者の先住民が居住してきた。彼らの食文化ブッシュ・タッカーは1970年代から注目された。オーストラリアは、生活の質、健康、教育、市民の自由、民主主義指数、経済的自由権、世界平和度指数、および政治的権利において世界最高値の順位に立っており、さらに国内すべての主要都市が、国際的な居住性の順位において高い確率で挙げられており、どれも例外的に機能を果たしている面を持つ。また、オーストラリアは高度に発展した高所得経済国家であり、2014年時点での一人当たりの国民所得は世界第5位であった。2022年の時点で、経済規模は世界14位であり、 1人当たりの所得は9位となっている。2021年時点の人間開発指数では5位にランクされている。一方で同国は地域大国であり、軍事費が世界13位という高さを誇っている。国際連合、G20、経済協力開発機構 (OECD)、世界貿易機関、アジア太平洋経済協力及び太平洋諸島フォーラム加盟国である。2013年9月MIKTAにも参加した。また、イギリス連邦加盟国で英連邦王国の一国となっており、その傍ら太平洋共同体の創設国で日米豪印戦略対話の当事国家の一国かつANZUS、UKUSA協定、AUKUS締結国の一国ともなっている。
キタオットセイ,キタオットセイ（北膃肭臍、Callorhinus ursinus）は、ネコ目（食肉目）アシカ科キタオットセイ属に分類される鰭脚類。本種のみでキタオットセイ属を構成する。単にオットセイとも呼ばれる。
キタナキウサギ,キタナキウサギ（北鳴兎、Ochotona hyperborea）は、ウサギ目ナキウサギ科に属するナキウサギの1種。アジア北部のウラル山脈からサハリンを経て日本の北海道まで、またモンゴルから中国東北部、朝鮮北部に至る地域に分布する。日本では亜種のエゾナキウサギ O. h. yesoensis が北海道の中央山地部と日高山脈沿いに棲息する。キタナキウサギの成獣は、体長12.7-18.6cm、尾長0.5-1.2cmに達する。キタナキウサギは体毛を年に2度生えかわらせ、夏毛は赤褐色、冬毛は灰褐色である。キタナキウサギには、以下の9亜種が含まれる。ただし、最近の研究には、O. h. mantchurica を独立種 O. mantchurica とするべきであるとするものもある。Ochotona hyperborea cinereoflavaOchotona hyperborea coreanaOchotona hyperborea ferrugineaOchotona hyperborea hyperboreaOchotona hyperborea mantchuricaOchotona hyperborea normalisOchotona hyperborea uralesisエゾナキウサギ Ochotona hyperborea yesoensisOchotona hyperborea yoshikurai
クロキツネザル,クロキツネザル (黒狐猿、Eulemur macaco) は、哺乳綱霊長目キツネザル科キツネザル属に分類される霊長類。
コイワシクジラ,ミンククジラ（みんく鯨・学名Balaenoptera acutorostrata）は、ヒゲクジラ亜目に属するクジラの一種である。ナガスクジラ科ナガスクジラ属に属する。コイワシクジラ（小鰯鯨）とも呼ばれる。
コビレゴンドウ,"ゴンドウクジラ属（ゴンドウクジラぞく、巨頭鯨属、学名：Globicephala）は、鯨偶蹄目ハクジラ亜目マイルカ科に属する属の1つ。ヒレナガゴンドウ（英: Long-finned Pilot Whale, 学名：G. melas）とコビレゴンドウ（英: Short-finned Pilot Whale, 学名：G. macrorhynchus）の2種で構成される。ゴンドウクジラ属はイルカとして扱われる種が多く属するマイルカ科に分類されるが、その形態は、口吻が額のメロンより先にあまり長く突出しておらず、いわゆるイルカらしい顔つきをしていない。そのため、体の大きさや系統分類学的位置からは十分イルカとして扱われておかしくないにもかかわらず、慣習的にイルカとしては扱われず、クジラとして扱われることが多い。ゴンドウイルカと呼ばれることもある。"
コモンリスザル,コモンリスザルは、南アメリカ北部の森林に生息するオマキザル科の小型の新世界ザル。単にリスザルとも言う。
ゴマフアザラシ,ゴマフアザラシ（胡麻斑海豹、学名：Phoca largha）は、アザラシ科ゴマフアザラシ属に属する海棲哺乳類。アザラシとしては中型。日本の水族館や動物園で最も多く飼育されているアザラシである。
ゴンドウクジラ,ゴンドウクジラ（巨頭鯨）は、クジラ類ハクジラ亜目マイルカ科に含まれる小型のクジラの一群。狭義にはゴンドウクジラ属のこと。広義には、ゴンドウクジラ亜科の全5属とシャチ亜科の2属中1属が含まれる。広義のゴンドウクジラは単系統ではなく、分岐学的にはあまり適当な分類法ではない。
チスイコウモリ,チスイコウモリ亜科 (Desmodontinae) は中南米に生息するヘラコウモリ科の亜科である。エサとして血を補給する行動はヘマトファジーと呼ばれる。現在、3種が存在している。
テンジクネズミ,テンジクネズミ（天竺鼠）は、テンジクネズミ科テンジクネズミ属（Cavia）に含まれる齧歯類の総称である。南米に分布する（天竺には生息しない）。もっとも有名な種はペットや実験動物として知られているモルモットである。
トムソンガゼル,トムソンガゼル（Gazella thomsonii）は、哺乳綱ウシ目（偶蹄目）ウシ科ガゼル属に分類される偶蹄類。
ナミハリネズミ,ナミハリネズミ (Erinaceus europaeus) は、哺乳綱真無盲腸目ハリネズミ科ハリネズミ属に分類される哺乳類。ハリネズミ属の模式種。別名ヨーロッパハリネズミ。
ニホンノウサギ,ニホンノウサギ（日本野兎、学名：Lepus brachyurus）は、ウサギ目（兎形目）ウサギ科ノウサギ属に分類されるウサギ。旧和名ノウサギ。日本固有種。
ニホンモモンガ,ニホンモモンガ（日本鼯鼠、日本摸摸具和、Pteromys momonga）は、リス科モモンガ属に分類される齧歯類。別名ホンドモモンガ。単にモモンガと呼ばれることもある。
ハンドウイルカ,ハンドウイルカ（半道海豚、Tursiops truncatus）は、クジラ目ハクジラ亜目マイルカ科ハンドウイルカ属に属するイルカである。バンドウイルカ（坂東海豚）と呼ばれることが多い。最も良く知られたイルカの一つであり、熱帯~温帯の陸近くの世界中の海に生息する。
バンディクート,バンディクート形目（バンディクートけいもく、Peramelemorphia）は、哺乳綱に分類される目。別名バンディクート目。
バンドウイルカ,ハンドウイルカ（半道海豚、Tursiops truncatus）は、クジラ目ハクジラ亜目マイルカ科ハンドウイルカ属に属するイルカである。バンドウイルカ（坂東海豚）と呼ばれることが多い。最も良く知られたイルカの一つであり、熱帯~温帯の陸近くの世界中の海に生息する。
ヒトコブラクダ,ヒトコブラクダ（一瘤駱駝、学名 Camelus dromedarius）はラクダの一種で、鯨偶蹄目 ラクダ科に属する大型の偶蹄類。本種は2種のフタコブラクダと合わせて3種のみでラクダ属を構成するが、フタコブラクダが背中に2つのコブをもつのに対して、本種はコブを1つしかもたない。本種はラクダ科中で最もよく知られた動物でもある。ラクダ科（ラクダ属の上位分類群）には、ほかに南アメリカのリャマ・アルパカなどが含まれる。
フクロアリクイ,フクロアリクイ（袋蟻食、Myrmecobius fasciatus）は、フクロネコ目フクロアリクイ科フクロアリクイ属に分類される有袋類。本種のみでフクロアリクイ科フクロアリクイ属を形成する。別名ナンバット。
フサオマキザル,フサオマキザル (房尾巻猿、Cebus apella) 、別名カッショクオマキザルは、オマキザル科オマキザル属に分類されるサル。この項目はフサオマキザルという種についてのものだが、別種C. flavius (C. flavius)、C. libidinosus (C. libidinosus)、C. nigritus (C. nigritus)、C. xanthosternos (C. xanthosternos) の知見を含んでいることがありうる。これは、従来これらの種が本稿のフサオマキザル (C. apella) の亜種として分類されてきたためである。新しく受容されている分類と従来の旧分類との対応については、亜種と分布の節で詳述する。
フタコブラクダ,フタコブラクダ（二瘤駱駝）は、ラクダ科ラクダ属の3種の現生種のうち2種。背中の「瘤」が1つのヒトコブラクダに対し瘤が2つあるのが特徴。
ホッキョクグマ,ホッキョクグマ（北極熊、Ursus maritimus）は、哺乳綱食肉目クマ科クマ属に分類される食肉類。
ホンドモモンガ,ニホンモモンガ（日本鼯鼠、日本摸摸具和、Pteromys momonga）は、リス科モモンガ属に分類される齧歯類。別名ホンドモモンガ。単にモモンガと呼ばれることもある。
マッコウクジラ,マッコウクジラ（抹香鯨、学名：Physeter macrocephalus）は、偶蹄目（鯨偶蹄目とする説もあり）マッコウクジラ科マッコウクジラ属に分類されるクジラ類。本種のみでマッコウクジラ属を構成する。ハクジラ類の中で最も大きく、歯のある動物では世界最大で、巨大な頭部形状が特徴。
レッサーパンダ,レッサーパンダ（学名：Ailurus fulgens、中国語：小熊貓）は、食肉目レッサーパンダ科に分類される哺乳綱。本種のみでレッサーパンダ属を構成する。
ワオキツネザル,ワオキツネザル（輪尾狐猿、Lemur catta）は、霊長目キツネザル科に分類される霊長類。本種のみでワオキツネザル属を構成する。
アカクビワラビー,アカクビワラビー（Macropus rufogriseus）は双前歯目カンガルー科カンガルー属に属する有袋類である。
アメリカバイソン,アメリカバイソン（Bison bison）は、哺乳綱偶蹄目（鯨偶蹄目とする説もあり）ウシ科バイソン属に分類される偶蹄類。別名アメリカヤギュウ。特にアメリカ合衆国やカナダの一部では一般にバッファローとも呼ぶが、これは誤称とする意見もある。
アメリカビーバー,アメリカビーバー（学名：Castor canadensis）は、ビーバー科に属する2種の現存種のうちの1種である。北アメリカ原産であるが、南アメリカのパタゴニアやフィンランドなどの欧州諸国にも生息している。アメリカやカナダでは、単にビーバーと呼ばれるが、これはしばしば同じ齧歯類のヤマビーバーと混同される。また、ユーラシア大陸には、ビーバー科を構成するもう１つの現存種であるヨーロッパビーバーが生息している。毛皮は初期のアメリカ入植者が最も儲けられる商材であり、北アメリカの毛皮交易での主要な輸出品であった。そのような歴史から、カナダでは国獣、アメリカ合衆国オレゴン州では、州の動物にそれぞれ指定されている。
コビトキツネザル,コビトキツネザル科（コビトキツネザルか、Cheirogaleidae）は、哺乳綱霊長目に分類される科。
サバンナシマウマ,サバンナシマウマ（Equus quagga）は、哺乳綱ウマ目（奇蹄目）ウマ科ウマ属に分類されるシマウマの1種。最も一般的で地理的に広く分布しているシマウマ。
シロテテナガザル,シロテテナガザル（白手手長猿、学名：Hylobates lar）は、霊長目テナガザル科テナガザル属に分類されるサル。馴染み深いテナガザルの一種で、多くの動物園で見ることができる。特定動物。
シロナガスクジラ,シロナガスクジラ（白長須鯨、Balaenoptera musculus、英語: Blue whale、藍鯨）は、哺乳綱偶蹄目ナガスクジラ科に分類される海洋哺乳類。最大確認体長29.9メートル、体重199トンに達し、現存する動物の中では最大である。体は細長い形状をしており、背側は様々な色の灰青色で、腹側はやや明るい色をしている。
ゼニガタアザラシ,ゼニガタアザラシ（銭形海豹、学名：Phoca vitulina）はゴマフアザラシ属に属するアザラシの一種。日本沿岸に定住する唯一のアザラシである。
タイリクオオカミ,オオカミ（狼、英: wolf、学名：Canis lupus）は、ユーラシア大陸と北アメリカに生息する大型のイヌ属の哺乳動物で、ハイイロオオカミとも呼ばれている。30以上の亜種が認識されており、口語的に理解されているハイイロオオカミは、家畜化されていない野生の亜種で構成されている。オオカミは現存するイヌ科の動物の中で最大の動物である。また、他のイヌ科の動物とは、耳やマズルがあまり尖っていないこと、胴体が短く、尾が長いことで区別される。しかし、オオカミはコヨーテやゴールデンジャッカルなどの小型のイヌ科動物と近縁であり、それらの動物との間に生殖能力のある交配種を生み出している。オオカミの帯状の毛皮は通常、白色、茶色、灰色、黒色が混ざっているが、北極圏の亜種はほとんど白であることもある。オオカミはイヌ属の中で最も協力的な狩猟に特化しており、大きな獲物に挑むための身体的適応や、より社会的な性質、高度な表現行動などがそれを示している。オオカミは、交尾したペアとその子供からなる核家族で移動する。子は性的に成熟すると、また群れの中での餌の奪い合いに応じて、それぞれの群れを形成するために離れることがある。また、オオカミには縄張り意識があり、縄張りをめぐる争いがオオカミの主な死亡原因となっている。オオカミは主に肉食性で、角を持つ大型哺乳類のほか、小動物、家畜、腐肉、生ゴミなどを食べる。単独のオオカミやつがいのオオカミは、一般的に大きな群れよりも狩りの成功率が高くなる。狂犬病ウイルスをはじめとする病原体や寄生虫がオオカミに感染する可能性がある。世界の野生オオカミの個体数は2003年には30万頭と推定され、国際自然保護連合（IUCN）では「軽度懸念」とされている。オオカミは人間との交流の歴史が長く、ほとんどの牧畜社会では家畜を襲うことから軽蔑され狩られてきたが、逆に一部の農耕社会や狩猟採集社会では尊敬されてきた。またオオカミは、家畜やペットである犬の祖先とも言われている。オオカミに対する恐怖心は多くの人間社会に存在しているが、記録されている人間への襲撃の大半は狂犬病にかかった個体によるものとされている。オオカミは比較的数が少なく、人から離れた場所に住み、ハンターや牧場主、羊飼いとの経験から人間を恐れるようになっているため、人間を襲うことは稀である。
タスマニアデビル,タスマニアデビル (学名: Sarcophilus harrisii) は、哺乳綱フクロネコ形目フクロネコ科タスマニアデビル属に分類される有袋類。フクロアナグマ（袋穴熊）とも呼ばれる。
ナミチンパンジー,チンパンジー属（学名：Pan ）は、哺乳類- サル目（霊長目）のヒト科に分類される1属。チンパンジーとボノボの2種で構成されている。チンパンジーとボノボとが分岐したのは約300万年前と推定されている。ヒト族からチンパンジー亜族とヒト亜族とに約700万年前に分岐したと推定されている。
ネズミキツネザル,コビトキツネザル科（コビトキツネザルか、Cheirogaleidae）は、哺乳綱霊長目に分類される科。
ハイイロオオカミ,オオカミ（狼、英: wolf、学名：Canis lupus）は、ユーラシア大陸と北アメリカに生息する大型のイヌ属の哺乳動物で、ハイイロオオカミとも呼ばれている。30以上の亜種が認識されており、口語的に理解されているハイイロオオカミは、家畜化されていない野生の亜種で構成されている。オオカミは現存するイヌ科の動物の中で最大の動物である。また、他のイヌ科の動物とは、耳やマズルがあまり尖っていないこと、胴体が短く、尾が長いことで区別される。しかし、オオカミはコヨーテやゴールデンジャッカルなどの小型のイヌ科動物と近縁であり、それらの動物との間に生殖能力のある交配種を生み出している。オオカミの帯状の毛皮は通常、白色、茶色、灰色、黒色が混ざっているが、北極圏の亜種はほとんど白であることもある。オオカミはイヌ属の中で最も協力的な狩猟に特化しており、大きな獲物に挑むための身体的適応や、より社会的な性質、高度な表現行動などがそれを示している。オオカミは、交尾したペアとその子供からなる核家族で移動する。子は性的に成熟すると、また群れの中での餌の奪い合いに応じて、それぞれの群れを形成するために離れることがある。また、オオカミには縄張り意識があり、縄張りをめぐる争いがオオカミの主な死亡原因となっている。オオカミは主に肉食性で、角を持つ大型哺乳類のほか、小動物、家畜、腐肉、生ゴミなどを食べる。単独のオオカミやつがいのオオカミは、一般的に大きな群れよりも狩りの成功率が高くなる。狂犬病ウイルスをはじめとする病原体や寄生虫がオオカミに感染する可能性がある。世界の野生オオカミの個体数は2003年には30万頭と推定され、国際自然保護連合（IUCN）では「軽度懸念」とされている。オオカミは人間との交流の歴史が長く、ほとんどの牧畜社会では家畜を襲うことから軽蔑され狩られてきたが、逆に一部の農耕社会や狩猟採集社会では尊敬されてきた。またオオカミは、家畜やペットである犬の祖先とも言われている。オオカミに対する恐怖心は多くの人間社会に存在しているが、記録されている人間への襲撃の大半は狂犬病にかかった個体によるものとされている。オオカミは比較的数が少なく、人から離れた場所に住み、ハンターや牧場主、羊飼いとの経験から人間を恐れるようになっているため、人間を襲うことは稀である。
ヒメキヌゲネズミ,ジャンガリアンハムスター (Djungarian Hamster) は、ヒメキヌゲネズミ属に属するネズミの一種である。和名はヒメキヌゲネズミ。日本では、愛らしく慣れやすいことと飼育スペースが小さく済むことから人気が高く、ドワーフハムスターの中で最も多くペットとして飼育されている。冬になると体毛が白く変化する個体があることから、欧米ではウィンターホワイトドワーフハムスター (Winter white dwarf hamster) またはウインターホワイトロシアンドワーフハムスターと呼ばれる。
フェネックギツネ,フェネック (Vulpes zerda) は、哺乳綱食肉目イヌ科キツネ属に分類される食肉類。別名フェネックギツネ。
プレーリードッグ,プレーリードッグ (prairie dog) は、ネズミ目（齧歯目）リス科プレーリードッグ属の動物の総称。すべてが北米原産で、北米の草原地帯（プレーリー）に穴を掘って巣穴をつくり、群れで生活する。体長30-40cmほどで、毛色はおおむね淡い茶色。草食で、ムラサキウマゴヤシ（アルファルファ）、イネ科の植物を好む。プレリードッグとも呼ばれる。
ホモ・サピエンス,ホモ・サピエンス（Homo sapiens、ラテン語で「賢い人間」の意味）は、現生人類が属する種の学名である。ヒト属で現存する唯一の種。種の下位の亜種の分類では現生人類をホモ・サピエンス・サピエンスとすることで、彼らの祖先だと主張されてきたホモ・サピエンス・イダルトゥと区別している。創意工夫に長けて適応性の高いホモ・サピエンスは、これまで地球上で最も支配的な種として繁栄してきた。国際自然保護連合が作成する絶滅危惧種のレッドリストは、「軽度懸念」としている。
アマミノクロウサギ,アマミノクロウサギ（奄美の黒兎、Pentalagus furnessi）は、哺乳綱兎形目ウサギ科アマミノクロウサギ属に分類されるウサギ。本種のみでアマミノクロウサギ属を構成する。日本の奄美大島と徳之島の遺存固有種で、絶滅危惧種。
アメリカマナティー,アメリカマナティー（Trichechus manatus）は、哺乳綱海牛目マナティー科マナティー属に分類される哺乳類。
アメリカヤマアラシ,ヤマアラシ（山荒、豪猪、学名：Hystricidae）は、ヤマアラシ科およびアメリカヤマアラシ科に属する草食性の齧歯類の総称である。体の背面と側面の一部に鋭い針毛（とげ）をもつことを特徴とする。
アルプスマーモット,アルプスマーモット（Marmota marmota）は、哺乳綱ネズミ目（齧歯目）リス科マーモット属に属するマーモットの1種。ヨーロッパ中央部および南部の高山地帯に見られる、大型のジリス。地面を掘ることが得意で、1年のうち9か月を冬眠して過ごす。
エジプトマングース,マングース科（マングースか、Herpestidae）は、哺乳綱食肉目に属する科。
キンイロジャッカル,キンイロジャッカル(Canis aureus) は、食肉目イヌ科イヌ属に分類される食肉類。ジャッカル類のなかでは最も大型である。
ゴールデンモンキー,キンシコウ（金絲猴、Rhinopithecus roxellana）は、哺乳綱霊長目オナガザル科シシバナザル属に分類される霊長類。別名ゴールデンモンキー。チベットコバナテングザル。
シリアンハムスター,ゴールデン ハムスター (Mesocricetus auratus) は、哺乳綱齧歯目キヌゲネズミ科ゴールデン ハムスター属に分類される齧歯類。別名シリアン ハムスター。
ジャイアントパンダ,ジャイアントパンダ（学名：Ailuropoda melanoleuca、中国語: 大熊猫）は、哺乳綱食肉目クマ科ジャイアントパンダ属に分類される食肉類。別名オオパンダ。中国を代表する動物だが、生息地は四川省の一部などと狭く中国全土に生息しているわけではない。
ナミチスイコウモリ,ナミチスイコウモリ（並血吸蝙蝠、Desmodus rotundus）は、チスイコウモリ科（ヘラコウモリ科に含めて、チスイコウモリ亜科とする説もあり）チスイコウモリ属に分類されるコウモリ。本種のみでチスイコウモリ属を形成する。チスイコウモリ属はチスイコウモリ科の模式属。俗に「吸血蝙蝠」とも呼ばれる。
ノルウェーレミング,ウェールズCymru（ウェールズ語）Wales（英語）国の標語：“Cymru am Byth”（ウェールズ語）「ウェールズよ、永遠なれ」国歌：我が父祖の土地Hen Wlad Fy Nhadau（ウェールズ語）1 イギリス構成国中第3位2 イギリス構成国中第3位ウェールズ（英語:  Wales、ウェールズ語: Cymru [ˈkəm.rɨ] ( 音声ファイル) カムリ）は、グレートブリテンおよび北アイルランド連合王国（イギリス）を構成する4つの「国（country）」のひとつである。ウェールズはグレートブリテン島の南西に位置し、南にブリストル海峡、東にイングランド、西と北にはアイリッシュ海が存在する。かつて、石炭を代表とする豊富な地下資源を産出し、イギリスの産業革命を支えた歴史をもつ。
ハイイロカンガルー,カンガルー（袋鼠、更格廬、長尾驢、kangaroo）は、哺乳綱双前歯目カンガルー科を構成する有袋類の総称。狭義では、そのうちカンガルー属の大形種を指す。オーストラリア大陸、タスマニア島、ニューギニア島に生息している。大型の（狭義の）カンガルー、小型のワラビー、樹上性のキノボリカンガルーなどがいるが、同じカンガルー属 Macropus にオオカンガルーもアカクビワラビーも中間サイズのワラルーもおり、大型カンガルーとワラビーの区別は分類学的なものではない。
フタユビナマケモノ,ナマケモノ（樹懶）は、哺乳綱有毛目ナマケモノ亜目（Folivora）の総称。ミユビナマケモノ科とフタユビナマケモノ科が現生し、他にいくつかの絶滅科がある。分類群としては、別名食葉亜目。
マレージャコウネコ,コピ・ルアク（インドネシア語：Kopi Luwak）とは、ジャコウネコの糞から採られる未消化のコーヒー豆のことである。「コピ」はコーヒーを指すインドネシア語、「ルアク」はマレージャコウネコの現地での呼び名である。日本では、コピ・ルアク、コピ・ルアック、ルアック・コーヒーと呼ばれることが多い。独特の香りを持ったコピ・ルアクは、産出量が少ないその希少性により、高額で取り引きされている。
ムツオビアルマジロ,ムツオビアルマジロ（学名：Euphractus sexcinctus）は、南アメリカに分布するアルマジロの1種である。
ユーラシアカワウソ,ユーラシアカワウソ(Lutra lutra)は、哺乳綱食肉目イタチ科カワウソ属に分類される食肉類。別名ヨーロッパカワウソ。
カリフォルニアアシカ,カリフォルニアアシカ（学名：Zalophus californianus、英名：California sea lion）は、アシカ科- アシカ亜科- アシカ属（アシカ）に分類される1種。北東太平洋および北アメリカ大陸西岸を生息域とする。高緯度でも見られるが、アメリカ合衆国カリフォルニア州サンタバーバラ諸島以南の、カリフォルニア湾など暖かい海域で繁殖する。
ゴールデンハムスター,ゴールデン ハムスター (Mesocricetus auratus) は、哺乳綱齧歯目キヌゲネズミ科ゴールデン ハムスター属に分類される齧歯類。別名シリアン ハムスター。
シントウトガリネズミ,シントウトガリネズミ（学名：Sorex shinto）は、哺乳綱真無盲腸目トガリネズミ科トガリネズミ属に属するトガリネズミの1種である。エゾトガリネズミと同じくバイカルトガリネズミ Sorex caecutiens の亜種とする説もある。
ピグミーチンパンジー,ボノボ（Pan paniscus）は、哺乳綱霊長目ヒト科チンパンジー属に分類される霊長類。別名ピグミーチンパンジー。
ピグミーマーモセット,ピグミーマーモセット (Cebuella pygmaea) は、哺乳綱霊長目オマキザル科（キヌザル科あるいはマーモセット科とする説もあり）ピグミーマーモセット属に分類される霊長類あるいはその総称。2018年には、本種を2種に分割する説が提唱されている。体格の極めて小さなサルで、ピグミーネズミキツネザルが再発見される1998年までは「世界最小のサル」とされていた。
フィリピンメガネザル,メガネザルは、哺乳綱霊長目メガネザル科（メガネザルか、Tarsiidae）に分類される霊長類の総称。現生ではメガネザル科のみでメガネザル型下目を構成する。
ヨーロッパハリネズミ,ナミハリネズミ (Erinaceus europaeus) は、哺乳綱真無盲腸目ハリネズミ科ハリネズミ属に分類される哺乳類。ハリネズミ属の模式種。別名ヨーロッパハリネズミ。
オグロプレーリードッグ,プレーリードッグ (prairie dog) は、ネズミ目（齧歯目）リス科プレーリードッグ属の動物の総称。すべてが北米原産で、北米の草原地帯（プレーリー）に穴を掘って巣穴をつくり、群れで生活する。体長30-40cmほどで、毛色はおおむね淡い茶色。草食で、ムラサキウマゴヤシ（アルファルファ）、イネ科の植物を好む。プレリードッグとも呼ばれる。
ボルネオオランウータン,オランウータンは、ヒト科オランウータン属（Pongo）に分類される構成種の総称である。語源は、マレー語の「orang(人) hutan(森) = 森の人」である。アジアの熱帯のみに生息する。ヒト亜科とオランウータン亜科の分岐は約1400万年前と推定されている。
